Date,Open,High,Low,Close,Volume,OpenInterest
2020-06-08,286.31,292.0399,285.21,289.96,1055535,0.0
2020-06-09,286,287.5056,279.42,279.82,2431844,0.0
2020-06-10,280,283.9099,266.61,267.59,2277040,0.0
2020-06-11,254.44,255,237.2401,238.215,1473438,0.0
2020-06-12,250.64,257.34,248.37,248.675,1056022,0.0
2020-06-15,244.96,259.83,241.5732,258.99,1298342,0.0
2020-06-16,268.23,273.83,260.02,264.79,731155,0.0
2020-06-17,269.1,269.1,261.12,262.25,830506,0.0
2020-06-18,261.09,268,258.39,264.61,668092,0.0
2020-06-19,269.06,271.06,257.045,261,1544293,0.0
2020-06-22,261.85,262.43,255.79,260.71,482318,0.0
2020-06-23,263.11,268.8799,262.965,267.43,575034,0.0
2020-06-24,261.97,265.57,253.29,257.76,925061,0.0
2020-06-25,255.44,258.31,251.11,257.44,571918,0.0
2020-06-26,258.03,265.9,254.69,263.39,1029017,0.0
2020-06-29,265.34,268,259.16,266.47,503621,0.0
2020-06-30,266.67,275.81,264.37,274.44,745533,0.0
2020-07-01,275.95,280.605,272.56,273.89,580788,0.0
2020-07-02,279.15,285.6,276.65,280.07,638421,0.0
2020-07-06,284.15,288.13,279.9401,282.46,629442,0.0
2020-07-07,281.88,284.49,274.41,274.88,383315,0.0
2020-07-08,274.35,279.29,272.25,278.54,445864,0.0
2020-07-09,278.67,279.81,268.77,274.3,542131,0.0
2020-07-10,273.6,274,269.93,273.29,731044,0.0
2020-07-13,274.93,279.46,269.45,270.36,585991,0.0
2020-07-14,269.04,299.96,267.63,299.62,1492433,0.0
2020-07-15,303.52,321.49,302,314.48,1797759,0.0
2020-07-16,308.81,313.7696,305.87,309.205,582087,0.0
2020-07-17,312.83,326.36,310.3326,322.36,935436,0.0
2020-07-20,310.47,315.46,309.0391,313.04,847238,0.0
2020-07-21,316.12,319.2,312.19,315.5,648609,0.0
2020-07-22,315,319.5,312.49,317.71,688245,0.0
2020-07-23,305.5,314.4,296.73,299.34,1567302,0.0
2020-07-24,298.06,303.3,293.93,298.22,766376,0.0
2020-07-27,296.4,309.46,294.57,308.76,600533,0.0
2020-07-28,307.87,308.47,299.06,299.44,400663,0.0
2020-07-29,299.07,306.49,299.07,300.06,743840,0.0
2020-07-30,296.83,296.83,289.73,295.83,714011,0.0
2020-07-31,297.43,297.6,288.5301,294.01,471143,0.0
2020-08-03,296.01,297.7505,287,287.25,443409,0.0
2020-08-04,286.65,289.29,279.83,288.37,768704,0.0
2020-08-05,289.7,299.66,287.23,298.48,665657,0.0
2020-08-06,294.52,301.9,292.34,301.81,544605,0.0
2020-08-07,301.1,309.1,299.99,305.95,767465,0.0
2020-08-10,306.43,307.065,298.86,302.91,428310,0.0
2020-08-11,304.95,311.43,302.6,303.83,646665,0.0
2020-08-12,306.27,309.75,303.875,307.89,294939,0.0
2020-08-13,308.56,316.28,306.99,312.11,407882,0.0
2020-08-14,311.01,312.89,305.715,306.92,288884,0.0
2020-08-17,310.67,314.89,308.815,309.29,509436,0.0
2020-08-18,310.87,311,304.5807,306,380163,0.0
2020-08-19,307.48,308.45,301.07,301.5,346821,0.0
2020-08-20,300,302.1,295.23,297.37,388511,0.0
2020-08-21,296.27,299.84,293.63,294.29,387715,0.0
2020-08-24,297.31,303.35,293.13,295.44,564957,0.0
2020-08-25,296.03,297.265,289.515,296.85,514910,0.0
2020-08-26,294.12,301.93,291.23,300.63,592936,0.0
2020-08-27,300.27,310.35,299.26,305.82,700605,0.0
2020-08-28,306,306.24,299.8,300.23,350319,0.0
2020-08-31,300.21,300.94,295.03,296.64,404892,0.0
2020-09-01,297.1,307.25,293.33,305.17,628351,0.0
2020-09-02,307.72,324.88,306.635,324.42,776031,0.0
2020-09-03,324.45,325,310.68,314.67,712083,0.0
2020-09-04,318,318,299.33,308.96,771971,0.0
2020-09-08,299.99,313.8146,299.03,309.22,810925,0.0
2020-09-09,310.07,328.84,310.07,323.89,874945,0.0
2020-09-10,331.11,333.065,325.495,327.95,914562,0.0
2020-09-11,328.95,333,314,317.73,623550,0.0
